account_id,touch_id,touch_timestamp,channel,campaign_id
acct_0001,touch_0001,2026-06-21T23:17:00,paid_social,camp_008
acct_0002,touch_0002,2026-07-01T21:47:00,organic_direct,camp_003
acct_0002,touch_0003,2026-09-01T13:02:00,paid_search,camp_003
acct_0003,touch_0004,2026-07-17T16:38:00,paid_search,camp_018
acct_0003,touch_0005,2026-07-13T22:41:00,organic_direct,camp_014
acct_0004,touch_0006,2026-08-14T18:17:00,paid_search,camp_006
acct_0004,touch_0007,2026-09-15T13:21:00,developer_sponsorship,camp_005
acct_0005,touch_0008,2026-07-31T03:05:00,community_events,camp_004
acct_0005,touch_0009,2026-08-02T11:38:00,developer_sponsorship,camp_002
acct_0006,touch_0010,2026-08-25T03:59:00,community_events,camp_003
acct_0006,touch_0011,2026-08-27T09:53:00,organic_direct,camp_012
acct_0006,touch_0012,2026-08-30T06:45:00,paid_search,camp_002
acct_0006,touch_0013,2026-09-10T07:49:00,developer_sponsorship,camp_003
acct_0007,touch_0014,2026-06-30T12:17:00,community_events,camp_012
acct_0007,touch_0015,2026-07-08T11:22:00,paid_social,camp_009
acct_0008,touch_0016,2026-09-03T20:10:00,organic_direct,camp_008
acct_0009,touch_0017,2026-08-16T12:17:00,organic_direct,camp_008
acct_0009,touch_0018,2026-09-13T10:53:00,paid_search,camp_008
acct_0010,touch_0019,2026-07-28T12:17:00,paid_search,camp_007
acct_0011,touch_0020,2026-07-28T06:41:00,community_events,camp_013
acct_0011,touch_0021,2026-09-08T14:09:00,developer_sponsorship,camp_005
acct_0011,touch_0022,2026-07-19T23:35:00,organic_direct,camp_009
acct_0011,touch_0023,2026-08-31T13:57:00,organic_direct,camp_013
acct_0011,touch_0024,2026-08-03T07:08:00,organic_direct,camp_016
acct_0012,touch_0025,2026-06-24T03:09:00,paid_social,camp_014
acct_0013,touch_0026,2026-06-26T12:24:00,organic_direct,camp_015
acct_0013,touch_0027,2026-08-24T08:35:00,paid_search,camp_004
acct_0013,touch_0028,2026-09-13T17:48:00,developer_sponsorship,camp_011
acct_0013,touch_0029,2026-07-02T09:27:00,paid_social,camp_015
acct_0013,touch_0030,2026-06-18T23:56:00,developer_sponsorship,camp_017
acct_0014,touch_0031,2026-08-21T03:55:00,developer_sponsorship,camp_017
acct_0014,touch_0032,2026-09-03T06:09:00,developer_sponsorship,camp_006
acct_0015,touch_0033,2026-08-24T00:38:00,developer_sponsorship,camp_016
acct_0015,touch_0034,2026-06-20T03:59:00,developer_sponsorship,camp_010
acct_0015,touch_0035,2026-07-18T01:15:00,organic_direct,camp_003
acct_0015,touch_0036,2026-06-28T23:31:00,paid_search,camp_018
acct_0015,touch_0037,2026-07-04T04:42:00,community_events,camp_018
acct_0016,touch_0038,2026-07-21T16:55:00,organic_direct,camp_014
acct_0016,touch_0039,2026-07-15T17:48:00,paid_social,camp_010
acct_0017,touch_0040,2026-09-11T20:23:00,community_events,camp_017
acct_0017,touch_0041,2026-08-14T03:15:00,paid_social,camp_003
acct_0017,touch_0042,2026-07-31T00:37:00,organic_direct,camp_008
acct_0017,touch_0043,2026-09-01T07:00:00,paid_search,camp_002
acct_0018,touch_0044,2026-06-26T01:55:00,developer_sponsorship,camp_003
acct_0018,touch_0045,2026-08-22T07:17:00,community_events,camp_007
acct_0019,touch_0046,2026-07-04T23:59:00,organic_direct,camp_019
acct_0019,touch_0047,2026-08-17T07:50:00,community_events,camp_014
